idcl;identifier;version number;publication date;revision number;coded name;preferred name;definition;note;iso language code;iso country code;remark;level;mksubclass;mksynonym;mkbsa
AKJ670002;AKJ670;2;27.09.2004;1;17020000;Textile machine;;;en;EN;;2;1;;
AKJ671002;AKJ671;2;27.09.2004;1;17020100;Production a. treatment of filaments;;;en;EN;;3;1;;
AKJ672002;AKJ672;2;27.09.2004;1;17020190;Production a. treatment of filaments (unclassified);;;en;EN;;4;0;;
AKJ673002;AKJ673;2;27.09.2004;1;17020200;Production of man-made fibers;;;en;EN;;3;1;;
AKJ674002;AKJ674;2;27.09.2004;1;17020290;Production of man-made fibers (unclassified);;;en;EN;;4;0;;
AKJ675002;AKJ675;2;27.09.2004;1;17020300;Production of synthetic tapes;;;en;EN;;3;1;;
AKJ676002;AKJ676;2;27.09.2004;1;17020390;Production of synthetic tapes (unclassified);;;en;EN;;4;0;;
AKJ677002;AKJ677;2;27.09.2004;1;17020400;Production of carbon/ceramic fibers;;;en;EN;;3;1;;
AKJ678002;AKJ678;2;27.09.2004;1;17020490;Production of carbon/ceramic fibers (unclassified);;;en;EN;;4;0;;
AKJ679002;AKJ679;2;27.09.2004;1;17020500;Production of glass filaments/fibers;;;en;EN;;3;1;;
AKJ680002;AKJ680;2;27.09.2004;1;17020590;Production of glass filaments/fibers (unclassified);;;en;EN;;4;0;;
AKJ681002;AKJ681;2;27.09.2004;1;17020600;Automatic doffing system;;;en;EN;;3;1;;
AKJ682002;AKJ682;2;27.09.2004;1;17020690;Automatic doffing system (unclassified);;;en;EN;;4;0;;
AKJ683002;AKJ683;2;27.09.2004;1;17020700;Spinning preparatory a. spinning;;;en;EN;;3;1;;
AKJ684002;AKJ684;2;27.09.2004;1;17020790;Spinning preparatory a. spinning (unclassified);;;en;EN;;4;0;;
AKJ685002;AKJ685;2;27.09.2004;1;17020800;Doubling, twisting, winding & reeling machine;;;en;EN;;3;1;;
AKJ686002;AKJ686;2;27.09.2004;1;17020890;Doubling, twisting, winding & reeling machine (unclassified);;;en;EN;;4;0;;
AKJ687002;AKJ687;2;27.09.2004;1;17020900;Rope making, braiding, lace braiding;;;en;EN;;3;1;;
AKJ688002;AKJ688;2;27.09.2004;1;17020990;Rope making, braiding, lace braiding (unclassified);;;en;EN;;4;0;;
AKJ689002;AKJ689;2;27.09.2004;1;17021000;Nonwovens production, wadding, felting, hat making;;;en;EN;;3;1;;
AKJ690002;AKJ690;2;27.09.2004;1;17021090;Nonwovens production, wadding, felting, hat making (unclassified);;;en;EN;;4;0;;
AKJ691002;AKJ691;2;27.09.2004;1;17021100;Weaving preparatory a. weaving machine;;;en;EN;;3;1;;
AKJ692002;AKJ692;2;27.09.2004;1;17021190;Weaving preparatory a. weaving machine (unclassified);;;en;EN;;4;0;;
AKJ693002;AKJ693;2;27.09.2004;1;17021200;Knitting a. hosiery machinery;;;en;EN;;3;1;;
AKJ694002;AKJ694;2;27.09.2004;1;17021290;Knitting a. hosiery machinery (unclassified);;;en;EN;;4;0;;
AKJ695002;AKJ695;2;27.09.2004;1;17021300;Washing, bleaching, dyeing, finishing...;;;en;EN;;3;1;;
AKJ696002;AKJ696;2;27.09.2004;1;17021390;Washing, bleaching, dyeing, finishing... (unclassified);;;en;EN;;4;0;;
AKJ697002;AKJ697;2;27.09.2004;1;17021400;Cutting machines (textiles);;;en;EN;;3;1;;
AKJ698002;AKJ698;2;27.09.2004;1;17021490;Cutting machines (textiles, unclassified);;;en;EN;;4;0;;
AKJ699002;AKJ699;2;27.09.2004;1;17029000;Textile machine (other);;;en;EN;;3;1;;
AKJ700002;AKJ700;2;27.09.2004;1;17029090;Textile machine (other, unclassified);;;en;EN;;4;0;;
AKJ701002;AKJ701;2;27.09.2004;1;17029100;Textile machine (parts);;;en;EN;;3;1;;
AKJ702002;AKJ702;2;27.09.2004;1;17029190;Textile machine (parts, unclassified);;;en;EN;;4;0;;
AKJ703002;AKJ703;2;27.09.2004;1;17029200;Textile machine (accessories, additional equipment);;;en;EN;;3;1;;
AKJ704002;AKJ704;2;27.09.2004;1;17029290;Textile machine (accessories, additional equipment, unclassified);;;en;EN;;4;0;;
AKJ705002;AKJ705;2;27.09.2004;1;17029700;Textile machine (assembly);;;en;EN;;3;1;;
AKJ706002;AKJ706;2;27.09.2004;1;17029790;Textile machine (assembly, unclassified);;;en;EN;;4;0;;
AKJ707002;AKJ707;2;27.09.2004;1;17029800;Textile machine (maintenance, service);;;en;EN;;3;1;;
AKJ708002;AKJ708;2;27.09.2004;1;17029890;Textile machine (maintenance, service, unclassified);;;en;EN;;4;0;;
AKJ709002;AKJ709;2;27.09.2004;1;17029900;Textile machine (repair);;;en;EN;;3;1;;
AKJ710002;AKJ710;2;27.09.2004;1;17029990;Textile machine (repair, unclassified);;;en;EN;;4;0;;
AKJ711002;AKJ711;2;27.09.2004;1;17030000;Machine f. clothing industry, leather industry;;;en;EN;;2;1;;
AKJ712002;AKJ712;2;27.09.2004;1;17039000;Machine f. clothing industry, leather industry (other);;;en;EN;;3;1;;
AKJ713002;AKJ713;2;27.09.2004;1;17039090;Machine f. clothing industry, leather industry (other, unclassified);;;en;EN;;4;0;;
AKJ714002;AKJ714;2;27.09.2004;1;17039100;Machine f. clothing industry, leather industry (parts);;;en;EN;;3;1;;
AKJ715002;AKJ715;2;27.09.2004;1;17039190;Machine f. clothing industry, leather industry (parts, unclassified);;;en;EN;;4;0;;
AKJ716002;AKJ716;2;27.09.2004;1;17039200;Machine f. clothing industry, leather industry (accessories, add. equipment);;;en;EN;;3;1;;
AKJ717002;AKJ717;2;27.09.2004;1;17039290;Machine f. clothing, leather -industry (accessories, add. equipment, n. class.);;;en;EN;;4;0;;
AKJ718002;AKJ718;2;27.09.2004;1;17039700;Machine f. clothing industry, leather industry (assembly);;;en;EN;;3;1;;
AKJ719002;AKJ719;2;27.09.2004;1;17039790;Machine f. clothing industry, leather industry (assembly, unclassified);;;en;EN;;4;0;;
AKJ720002;AKJ720;2;27.09.2004;1;17039800;Machine f. clothing industry, leather industry (maintenance, service);;;en;EN;;3;1;;
AKJ721002;AKJ721;2;27.09.2004;1;17039890;Machine f. clothing industry, leather industry (maintenance, service, n. class.);;;en;EN;;4;0;;
AKJ722002;AKJ722;2;27.09.2004;1;17039900;Machine f. clothing industry, leather industry (repair);;;en;EN;;3;1;;
AKJ723002;AKJ723;2;27.09.2004;1;17039990;Machine f. clothing industry, leather industry (repair, unclassified);;;en;EN;;4;0;;
AKK268002;AKK268;2;27.09.2004;1;17040000;Machine f. printing a. paper industry;;;en;EN;;2;1;;
AKK269002;AKK269;2;27.09.2004;1;17049000;Machine f. printing a. paper industry (other);;;en;EN;;3;1;;
AKK270002;AKK270;2;27.09.2004;1;17049090;Machine f. printing a. paper industry (other, unclassified);;;en;EN;;4;0;;
AKK271002;AKK271;2;27.09.2004;1;17049100;Machine f. printing a. paper industry (parts);;;en;EN;;3;1;;
AKK272002;AKK272;2;27.09.2004;1;17049190;Machine f. printing a. paper industry (parts, unclassified);;;en;EN;;4;0;;
AKK273002;AKK273;2;27.09.2004;1;17049200;Machine f. printing a. paper industry (accessories, additional equipment);;;en;EN;;3;1;;
AKK274002;AKK274;2;27.09.2004;1;17049290;Machine f. printing a. paper industry (accessories, add. equipment, n. class.);;;en;EN;;4;0;;
AKK275002;AKK275;2;27.09.2004;1;17049700;Machine f. printing a. paper industry (assembly);;;en;EN;;3;1;;
AKK276002;AKK276;2;27.09.2004;1;17049790;Machine f. printing a. paper industry (assembly, unclassified);;;en;EN;;4;0;;
AKK277002;AKK277;2;27.09.2004;1;17049800;Machine f. printing a. paper industry (maintenance, service);;;en;EN;;3;1;;
AKK278002;AKK278;2;27.09.2004;1;17049890;Machine f. printing a. paper industry (maintenance, service, unclassified);;;en;EN;;4;0;;
AKK279002;AKK279;2;27.09.2004;1;17049900;Machine f. printing a. paper industry (repair);;;en;EN;;3;1;;
AKK280002;AKK280;2;27.09.2004;1;17049990;Machine f. printing a. paper industry (repair, unclassified);;;en;EN;;4;0;;
AKK281002;AKK281;2;27.09.2004;1;17050000;Machine f. construction a. building materials industry;;;en;EN;;2;1;;
AKK282002;AKK282;2;27.09.2004;1;17059000;Machine f. construction a. building materials industry (other);;;en;EN;;3;1;;
AKK283002;AKK283;2;27.09.2004;1;17059090;Machine f. construction a. building materials industry (other, unclassified);;;en;EN;;4;0;;
AKK284002;AKK284;2;27.09.2004;1;17059100;Machine f. construction a. building materials industry (parts);;;en;EN;;3;1;;
AKK285002;AKK285;2;27.09.2004;1;17059190;Machine f. construction a. building materials industry (parts, unclassified);;;en;EN;;4;0;;
AKK286002;AKK286;2;27.09.2004;1;17059200;Machine f. construction a. building materials industry (acc., add. equip.);;;en;EN;;3;1;;
AKK287002;AKK287;2;27.09.2004;1;17059290;Mach. f. construct. a. build. materials industry (acc., add. equip., n. class.);;;en;EN;;4;0;;
AKK288002;AKK288;2;27.09.2004;1;17059700;Machine f. construction a. building materials industry (assembly);;;en;EN;;3;1;;
AKK289002;AKK289;2;27.09.2004;1;17059790;Machine f. construction a. building materials industry (assembly, unclassified);;;en;EN;;4;0;;
AKK290002;AKK290;2;27.09.2004;1;17059800;Machine f. construction a. building materials industry (maintenance, service);;;en;EN;;3;1;;
AKK291002;AKK291;2;27.09.2004;1;17059890;Machine f. construction a. building materials industry (maintenance, service,;;;en;EN;;4;0;;
AKK292002;AKK292;2;27.09.2004;1;17059900;Machine f. construction a. building materials industry (repair);;;en;EN;;3;1;;
AKK293002;AKK293;2;27.09.2004;1;17059990;Machine f. construction a. building materials industry (repair, unclassified);;;en;EN;;4;0;;
AKK294002;AKK294;2;27.09.2004;1;17060000;Machine f. plastic a. rubber industry;;;en;EN;;2;1;;
AKK295002;AKK295;2;27.09.2004;1;17069000;Machine f. plastic a. rubber industry (other);;;en;EN;;3;1;;
AKK296002;AKK296;2;27.09.2004;1;17069090;Machine f. plastic a. rubber industry (other, unclassified);;;en;EN;;4;0;;
AKK297002;AKK297;2;27.09.2004;1;17069100;Machine f. plastic a. rubber industry (parts);;;en;EN;;3;1;;
AKK298002;AKK298;2;27.09.2004;1;17069190;Machine f. plastic a. rubber industry (parts, unclassified);;;en;EN;;4;0;;
AKK299002;AKK299;2;27.09.2004;1;17069200;Machine f. plastic a. rubber industry (accessories, additional equipment);;;en;EN;;3;1;;
AKK300002;AKK300;2;27.09.2004;1;17069290;Machine f. plastic a. rubber industry (accessories, add. equipment, n. class.);;;en;EN;;4;0;;
AKK301002;AKK301;2;27.09.2004;1;17069700;Machine f. plastic a. rubber industry (assembly);;;en;EN;;3;1;;
AKK302002;AKK302;2;27.09.2004;1;17069790;Machine f. plastic a. rubber industry (assembly, unclassified);;;en;EN;;4;0;;
AKK303002;AKK303;2;27.09.2004;1;17069800;Machine f. plastic a. rubber industry (maintenance, service);;;en;EN;;3;1;;
AKK304002;AKK304;2;27.09.2004;1;17069890;Machine f. plastic a. rubber industry (maintenance, service, unclassified);;;en;EN;;4;0;;
AKK305002;AKK305;2;27.09.2004;1;17069900;Machine f. plastic a. rubber industry (repair);;;en;EN;;3;1;;
AKK306002;AKK306;2;27.09.2004;1;17069990;Machine f. plastic a. rubber industry (repair, unclassified);;;en;EN;;4;0;;
AKK307002;AKK307;2;27.09.2004;1;17070000;Wood working machine;;;en;EN;;2;1;;
AKK308002;AKK308;2;27.09.2004;1;17070100;Roundwood yard;;;en;EN;;3;1;;
AKK309002;AKK309;2;27.09.2004;1;17070190;Roundwood yard (unclassified);;;en;EN;;4;0;;
AKK310002;AKK310;2;27.09.2004;1;17070200;Sawmilling technology (sawn timber production);;;en;EN;;3;1;;
AKK311002;AKK311;2;27.09.2004;1;17070290;Sawmilling technology (sawn timber production, unclassified);;;en;EN;;4;0;;
AKK312002;AKK312;2;27.09.2004;1;17070300;Drying, steaming a. impregnation of solid timber;;;en;EN;;3;1;;
AKK313002;AKK313;2;27.09.2004;1;17070390;Drying, steaming a. impregnation of solid timber (unclassified);;;en;EN;;4;0;;
AKK314002;AKK314;2;27.09.2004;1;17070400;Production of veneers;;;en;EN;;3;1;;
AKK315002;AKK315;2;27.09.2004;1;17070490;Production of veneers (unclassified);;;en;EN;;4;0;;
AKK316002;AKK316;2;27.09.2004;1;17070500;Production of solid coating materials based on paper;;;en;EN;;3;1;;
AKK317002;AKK317;2;27.09.2004;1;17070590;Production of solid coating materials based on paper;;;en;EN;;4;0;;
AKK318002;AKK318;2;27.09.2004;1;17070600;Production of veneer plywood a. laminated veneer lumber;;;en;EN;;3;1;;
AKK319002;AKK319;2;27.09.2004;1;17070690;Production of veneer plywood a. laminated veneer lumber (unclassified);;;en;EN;;4;0;;
AKK320002;AKK320;2;27.09.2004;1;17070700;Production of particle board, fiber board a. OSB;;;en;EN;;3;1;;
AKK321002;AKK321;2;27.09.2004;1;17070790;Production of particle board, fiber board a. OSB (unclassified);;;en;EN;;4;0;;
AKK322002;AKK322;2;27.09.2004;1;17070800;Veneer processing;;;en;EN;;3;1;;
AKK323002;AKK323;2;27.09.2004;1;17070890;Veneer processing (unclassified);;;en;EN;;4;0;;
AKK324002;AKK324;2;27.09.2004;1;17070900;Press, laminating a. profile wrapping machine f. solid coating materials;;;en;EN;;3;1;;
AKK325002;AKK325;2;27.09.2004;1;17070990;Press, laminating a. profile wrapping machine f. solid coating mat. (n. class.);;;en;EN;;4;0;;
AKK326002;AKK326;2;27.09.2004;1;17071000;Sawing mach. f. further processing of solid wood, wood-based panels a plastics;;;en;EN;;3;1;;
AKK327002;AKK327;2;27.09.2004;1;17071090;Sawing mach. f. processing of sol. wood, wood-based panels, plastics (n. class.);;;en;EN;;4;0;;
AKK328002;AKK328;2;27.09.2004;1;17071100;Moulding a. planing machine (wood working);;;en;EN;;3;1;;
AKK329002;AKK329;2;27.09.2004;1;17071190;Moulding a. planing machine (wood working, unclassified);;;en;EN;;4;0;;
AKK330002;AKK330;2;27.09.2004;1;17071200;Finger jointing technology;;;en;EN;;3;1;;
AKK331002;AKK331;2;27.09.2004;1;17071290;Finger jointing technology (unclassified);;;en;EN;;4;0;;
AKK332002;AKK332;2;27.09.2004;1;17071300;Tenoning machine;;;en;EN;;3;1;;
AKK333002;AKK333;2;27.09.2004;1;17071390;Tenoning machine (unclassified);;;en;EN;;4;0;;
AKK334002;AKK334;2;27.09.2004;1;17071400;Profiling a. sizing machine;;;en;EN;;3;1;;
AKK335002;AKK335;2;27.09.2004;1;17071490;Profiling a. sizing machine (unclassified);;;en;EN;;4;0;;
AKK336002;AKK336;2;27.09.2004;1;17071500;Edge banding machines (edge banding, trimming, sanding, etc.);;;en;EN;;3;1;;
AKK337002;AKK337;2;27.09.2004;1;17071590;Edge banding machines (edge banding, trimming, sanding, etc., unclassified);;;en;EN;;4;0;;
AKK338002;AKK338;2;27.09.2004;1;17071600;Sizing a. edge banding machine;;;en;EN;;3;1;;
AKK339002;AKK339;2;27.09.2004;1;17071690;Sizing a. edge banding machine (unclassified);;;en;EN;;4;0;;
AKK340002;AKK340;2;27.09.2004;1;17071700;Postforming machine (wood working);;;en;EN;;3;1;;
AKK341002;AKK341;2;27.09.2004;1;17071790;Postforming machine (wood working, unclassified);;;en;EN;;4;0;;
AKK342002;AKK342;2;27.09.2004;1;17071800;Folding system (wood working);;;en;EN;;3;1;;
AKK343002;AKK343;2;27.09.2004;1;17071890;Folding system (wood working, unclassified);;;en;EN;;4;0;;
AKK344002;AKK344;2;27.09.2004;1;17071900;Machines f. boring, dowel-driving a. hardware inserting;;;en;EN;;3;1;;
AKK345002;AKK345;2;27.09.2004;1;17071990;Machines f. boring, dowel-driving a. hardware inserting (unclassified);;;en;EN;;4;0;;
AKK346002;AKK346;2;27.09.2004;1;17072000;Mortising machine (wood working);;;en;EN;;3;1;;
AKK347002;AKK347;2;27.09.2004;1;17072090;Mortising machine (wood working, unclassified);;;en;EN;;4;0;;
AKK348002;AKK348;2;27.09.2004;1;17072100;Turning machine (wood working);;;en;EN;;3;1;;
AKK349002;AKK349;2;27.09.2004;1;17072190;Turning machine (wood working, unclassified);;;en;EN;;4;0;;
AKK350002;AKK350;2;27.09.2004;1;17072200;Sanding machine;;;en;EN;;3;1;;
AKK351002;AKK351;2;27.09.2004;1;17072290;Sanding machine (unclassified);;;en;EN;;4;0;;
AKK352002;AKK352;2;27.09.2004;1;17072300;Polishing a. buffing machine (wood working);;;en;EN;;3;1;;
AKK353002;AKK353;2;27.09.2004;1;17072390;Polishing a. buffing machine (wood working, unclassified);;;en;EN;;4;0;;
AKK354002;AKK354;2;27.09.2004;1;17072400;Forming machine (wood working);;;en;EN;;3;1;;
AKK355002;AKK355;2;27.09.2004;1;17072490;Forming machine (wood working, unclassified);;;en;EN;;4;0;;
AKK356002;AKK356;2;27.09.2004;1;17072500;Combined machine (space-induced combinations);;;en;EN;;3;1;;
AKK357002;AKK357;2;27.09.2004;1;17072590;Combined machine (space-induced combinations, unclassified);;;en;EN;;4;0;;
AKK358002;AKK358;2;27.09.2004;1;17072600;Machining center (wood working);;;en;EN;;3;1;;
AKK359002;AKK359;2;27.09.2004;1;17072690;Machining center (wood working, unclassified);;;en;EN;;4;0;;
AKK360002;AKK360;2;27.09.2004;1;17072700;Press a. equipment f. gluing of solid timber components;;;en;EN;;3;1;;
AKK361002;AKK361;2;27.09.2004;1;17072790;Press a. equipment f. gluing of solid timber components (unclassified);;;en;EN;;4;0;;
AKK362002;AKK362;2;27.09.2004;1;17072800;Press/clamp f. corner joints;;;en;EN;;3;1;;
AKK363002;AKK363;2;27.09.2004;1;17072890;Press/clamp f. corner joints (unclassified);;;en;EN;;4;0;;
AKK364002;AKK364;2;27.09.2004;1;17072900;Machine a. technical equipment f. surface finishing;;;en;EN;;3;1;;
AKK365002;AKK365;2;27.09.2004;1;17072990;Machine a. technical equipment f. surface finishing (unclassified);;;en;EN;;4;0;;
AKK366002;AKK366;2;27.09.2004;1;17073000;Machine a. technical equipment f. assembly, packaging;;;en;EN;;3;1;;
AKK367002;AKK367;2;27.09.2004;1;17073090;Machine a. technical equipment f. assembly, packaging (unclassified);;;en;EN;;4;0;;
AKK368002;AKK368;2;27.09.2004;1;17073300;Machine a. plant f. special processes (wood woorking);;;en;EN;;3;1;;
AKK369002;AKK369;2;27.09.2004;1;17073390;Machine a. plant f. special processes (wood woorking, unclassified);;;en;EN;;4;0;;
AKK370002;AKK370;2;27.09.2004;1;17073400;Machine a. plant f. special product groups (wood working);;;en;EN;;3;1;;
AKK371002;AKK371;2;27.09.2004;1;17073490;Machine a. plant f. special product groups (wood working, unclassified);;;en;EN;;4;0;;
AKK372002;AKK372;2;27.09.2004;1;17079000;Wood working machine (other);;;en;EN;;3;1;;
AKK373002;AKK373;2;27.09.2004;1;17079090;Wood working machine (other, unclassified);;;en;EN;;4;0;;
AKK374002;AKK374;2;27.09.2004;1;17079100;Wood working machine (parts);;;en;EN;;3;1;;
AKK375002;AKK375;2;27.09.2004;1;17079190;Wood working machine (parts, unclassified);;;en;EN;;4;0;;
AKK376002;AKK376;2;27.09.2004;1;17079200;Wood working machine (accessories, additional equipment);;;en;EN;;3;1;;
AKK377002;AKK377;2;27.09.2004;1;17079290;Wood working machine (accessories, additional equipment, unclassified);;;en;EN;;4;0;;
AKK378002;AKK378;2;27.09.2004;1;17079700;Wood working machine (assembly);;;en;EN;;3;1;;
AKK379002;AKK379;2;27.09.2004;1;17079790;Wood working machine (assembly, unclassified);;;en;EN;;4;0;;
AKK380002;AKK380;2;27.09.2004;1;17079800;Wood working machine (maintenance, service);;;en;EN;;3;1;;
AKK381002;AKK381;2;27.09.2004;1;17079890;Wood working machine (maintenance, service, unclassified);;;en;EN;;4;0;;
AKK382002;AKK382;2;27.09.2004;1;17079900;Wood working machine (repair);;;en;EN;;3;1;;
AKK383002;AKK383;2;27.09.2004;1;17079990;Wood working machine (repair, unclassified);;;en;EN;;4;0;;
AKK255002;AKK255;2;27.09.2004;1;17080000;Agricultural machine;;;en;EN;;2;1;;
AKK256002;AKK256;2;27.09.2004;1;17089000;Agricultural machine (other);;;en;EN;;3;1;;
AKK257002;AKK257;2;27.09.2004;1;17089090;Agricultural machine (other, unclassified);;;en;EN;;4;0;;
AKK258002;AKK258;2;27.09.2004;1;17089100;Agricultural machine (parts);;;en;EN;;3;1;;
AKK259002;AKK259;2;27.09.2004;1;17089190;Agricultural machine (parts, unclassified);;;en;EN;;4;0;;
AKK260002;AKK260;2;27.09.2004;1;17089200;Agricultural machine (accessories, fittings);;;en;EN;;3;1;;
AKK261002;AKK261;2;27.09.2004;1;17089290;Agricultural machine (accessories, fittings, unclassified);;;en;EN;;4;0;;
AKK262002;AKK262;2;27.09.2004;1;17089700;Agricultural machine (assembly);;;en;EN;;3;1;;
AKK263002;AKK263;2;27.09.2004;1;17089790;Machine f. agriculture (assembly, unclassified);;;en;EN;;4;0;;
AKK264002;AKK264;2;27.09.2004;1;17089800;Agricultural machine (maintenance, inspection);;;en;EN;;3;1;;
AKK265002;AKK265;2;27.09.2004;1;17089890;Agricultural machine (maintenance, inspection, unclassified);;;en;EN;;4;0;;
AKK266002;AKK266;2;27.09.2004;1;17089900;Agricultural machine (repair);;;en;EN;;3;1;;
AKK267002;AKK267;2;27.09.2004;1;17089990;Agricultural machine (repair, unclassified);;;en;EN;;4;0;;
AKK242002;AKK242;2;27.09.2004;1;17090000;Machine f. glass a. ceramic industry;;;en;EN;;2;1;;
AKK243002;AKK243;2;27.09.2004;1;17099000;Machine f. glass a. ceramic industry (other);;;en;EN;;3;1;;
AKK244002;AKK244;2;27.09.2004;1;17099090;Machine f. glass a. ceramic industry (other, unclassified);;;en;EN;;4;0;;
AKK245002;AKK245;2;27.09.2004;1;17099100;Machine f. glass a. ceramic industry (parts);;;en;EN;;3;1;;
AKK246002;AKK246;2;27.09.2004;1;17099190;Machine f. glass a. ceramic industry (parts, unclassified);;;en;EN;;4;0;;
AKK247002;AKK247;2;27.09.2004;1;17099200;Machine f. glass a. ceramic industry (accessories, additional equipment);;;en;EN;;3;1;;
AKK248002;AKK248;2;27.09.2004;1;17099290;Machine f. glass a. ceramic industry (accessories, add. equipment, n. class.);;;en;EN;;4;0;;
AKK249002;AKK249;2;27.09.2004;1;17099700;Machine f. glass a. ceramic industry (assembly);;;en;EN;;3;1;;
AKK250002;AKK250;2;27.09.2004;1;17099790;Machine f. glass a. ceramic industry (assembly, unclassified);;;en;EN;;4;0;;
AKK251002;AKK251;2;27.09.2004;1;17099800;Machine f. glass a. ceramic industry (maintenance, service);;;en;EN;;3;1;;
AKK252002;AKK252;2;27.09.2004;1;17099890;Machine f. glass a. ceramic industry (maintenance, service, unclassified);;;en;EN;;4;0;;
AKK253002;AKK253;2;27.09.2004;1;17099900;Machine f. glass a. ceramic industry (repair);;;en;EN;;3;1;;
AKK254002;AKK254;2;27.09.2004;1;17099990;Machine f. glass a. ceramic industry (repair, unclassified);;;en;EN;;4;0;;
BAA285001;BAA285;1;27.09.2004;1;17100000;Machine, device for the pre-press stage in the graphic arts industry;;;en;EN;;2;1;;
BAA301001;BAA301;1;27.09.2004;1;17109000;Machine, device for the pre-press stage in the graphic arts industry (other);;;en;EN;;3;1;;
BAA287001;BAA287;1;27.09.2004;1;17109090;Machine, device for the pre-press stage in the graphic arts industry (other, non-classified);;;en;EN;;4;0;;
BAA274001;BAA274;1;27.09.2004;1;17109100;Machine, device for the pre-press stage in the graphic arts industry (parts);;;en;EN;;3;1;;
BAA289001;BAA289;1;27.09.2004;1;17109190;Machine, device for the pre-press stage in the graphic arts industry (parts, non-classified);;;en;EN;;4;0;;
BAA290001;BAA290;1;27.09.2004;1;17109200;Machine, device for the pre-press stage in the graphic arts industry (accessories);;;en;EN;;3;1;;
BAA291001;BAA291;1;27.09.2004;1;17109290;Machine, device for the pre-press stage in the graphic arts industry (accessory, non-classified);;;en;EN;;4;0;;
BAA292001;BAA292;1;27.09.2004;1;17109800;Machine, device for the pre-press stage in the graphic arts industry (maintenance, inspection);;;en;EN;;3;1;;
BAA293001;BAA293;1;27.09.2004;1;17109890;Machine, device for the pre-press stage in the graphic arts industry (maintenance, inspection, non-classified);;;en;EN;;4;0;;
BAA294001;BAA294;1;27.09.2004;1;17109900;Machine, device for the pre-press stage in the graphic arts industry (repair);;;en;EN;;3;1;;
BAA295001;BAA295;1;27.09.2004;1;17109990;Machine, device for the pre-press stage in the graphic arts industry (maintenance, non-classified);;;en;EN;;4;0;;
BAA296001;BAA296;1;27.09.2004;1;17110000;Printing machine in the graphic arts industry;;;en;EN;;2;1;;
BAA297001;BAA297;1;27.09.2004;1;17119000;Printing machine in the graphic arts industry (other);;;en;EN;;3;1;;
BAA298001;BAA298;1;27.09.2004;1;17119090;Printing machine in the graphic arts industry (other, non-classified);;;en;EN;;4;0;;
